PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.25} Rank = 0 Crowding Distance = inf
PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.25} Rank = 1 Crowding Distance = inf
PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.25} Rank = 2 Crowding Distance = inf
PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.66, 'stoploss': 11.25} Rank = 3 Crowding Distance = inf
PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.26} Rank = 4 Crowding Distance = inf
PNL = 53.46 Max. Drawdown = 46.54 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.26} Rank = 5 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.64, 'stoploss': 11.25} Rank = 6 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.71, 'stoploss': 11.29} Rank = 7 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.63, 'stoploss': 11.25} Rank = 8 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.28} Rank = 9 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.26} Rank = 10 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.7, 'stoploss': 11.29} Rank = 11 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.7, 'stoploss': 11.28} Rank = 12 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.61, 'stoploss': 11.25} Rank = 13 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.66, 'stoploss': 11.26} Rank = 14 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.71, 'stoploss': 11.31} Rank = 15 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.68, 'stoploss': 11.29} Rank = 16 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.68, 'stoploss': 11.28} Rank = 17 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.7, 'stoploss': 11.31} Rank = 18 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.64, 'stoploss': 11.26} Rank = 19 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.66, 'stoploss': 11.29} Rank = 20 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.71, 'stoploss': 11.3} Rank = 21 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.58, 'stoploss': 11.25} Rank = 22 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.66, 'stoploss': 11.28} Rank = 23 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.68, 'stoploss': 11.31} Rank = 24 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.29} Rank = 25 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.7, 'stoploss': 11.3} Rank = 26 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.57, 'stoploss': 11.25} Rank = 27 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.64, 'stoploss': 11.29} Rank = 28 Crowding Distance = inf
