,PNL,Max_Drawdown,slow_ma_period,fast_ma_period,atr_period,takeprofit,stoploss,bt_pnl,bt_dd
381,4540486.84,0.0,459,19,100,8.33,50,19558.396435311075,19683.97201434991
326,4540486.84,0.0,431,47,100,8.8,50,18002.38964224001,14950.913748278075
896,4540486.84,0.0,341,137,100,8.07,50,17381.502457044997,9995.25365737451
148,4540486.84,0.0,431,47,100,8.73,50,17183.973366920625,14271.222252557025
673,4540486.84,0.0,470,8,100,7.3,50,17131.734613646557,14682.071539828994
708,4540486.84,0.0,469,9,100,6.39,50,16801.544458061093,14399.095204076544
492,4540486.84,0.0,431,47,100,6.9,50,16691.233125834075,16288.875796975739
918,4540486.84,0.0,465,13,100,9.81,50,16436.812561287363,14711.212000561041
557,4540486.84,0.0,469,9,100,10.2,50,16411.820025170422,11106.32220348555
979,4540486.84,0.0,466,12,100,9.81,50,16199.497408803212,14498.81111650141
102,4540486.84,0.0,470,8,100,5.62,50,16047.030051597101,16156.522129011135
745,4540486.84,0.0,470,8,100,7.03,50,16002.911882050606,13714.658929556883
246,4540486.84,0.0,459,19,100,6.17,50,15802.273046152113,13537.261016514287
273,4540486.84,0.0,470,8,100,5.52,50,15765.279439973518,17065.37328800136
443,4540486.84,0.0,470,8,100,8.68,50,15674.92522949355,13433.571018405379
454,4540486.84,0.0,470,8,100,7.02,50,15670.620759062602,13429.882043282107
615,4540486.84,0.0,453,25,100,7.37,50,15574.049103045942,14879.703542722393
727,4540486.84,0.0,431,47,100,8.08,50,15457.594017215728,15084.974679120372
500,4540486.84,0.0,341,137,100,5.93,50,15389.622808837297,7406.441194772959
444,4540486.84,0.0,470,8,100,5.72,50,15280.02394071254,13190.302015524767
156,4540486.84,0.0,465,13,100,6.17,50,15219.140712496072,13523.334665211394
850,4540486.84,0.0,453,25,100,5.25,50,15186.808082441567,17043.26000423396
642,4540486.84,0.0,431,47,100,8.05,50,15176.618592512647,14810.772422133907
529,4540486.84,0.0,470,8,100,7.31,50,15154.708962961571,12987.740364729414
405,4540486.84,0.0,431,47,100,4.9,50,15138.310857263295,14773.388129623228
519,4540486.84,0.0,465,13,100,5.54,50,15012.822255925148,15669.422289190614
358,4540486.84,0.0,470,8,100,9.47,50,14995.556833484065,12851.345364257973
244,4540486.84,0.0,431,47,100,6.72,50,14982.310312670357,14621.148119794238
914,4540486.84,0.0,470,8,100,5.91,50,14979.659952800732,12931.016314761699
876,4540486.84,0.0,453,25,100,6.22,50,14810.389899268626,14150.090936219469
161,4540486.84,0.0,465,13,100,7.6,50,14809.944331537079,13159.733348419692
572,4540486.84,0.0,469,9,100,8.68,50,14740.600102775277,12632.844842025648
831,4540486.84,0.0,465,13,100,7.37,50,14739.68549123913,13097.30316077062
698,4540486.84,0.0,453,25,100,8.49,50,14677.652516764518,14023.27145031507
168,4540486.84,0.0,470,8,100,5.42,50,14622.344422681357,14722.115586713267
732,4540486.84,0.0,453,25,100,7.16,50,14595.723275648563,13944.994901216023
803,4540486.84,0.0,459,19,100,8.75,50,14594.549789706301,12502.646255051053
391,4540486.84,0.0,469,9,100,7.01,50,14571.264851418611,12487.72280209788
624,4540486.84,0.0,469,9,100,5.02,50,14484.954899813989,14583.788627807875
167,4540486.84,0.0,476,2,100,4.2,50,14468.357625014947,13011.903771024752
798,4540486.84,0.0,469,9,100,5.39,50,14456.034927529223,14554.67132880071
210,4540486.84,0.0,469,9,100,8.49,50,14370.042812676113,12315.273459702965
213,4540486.84,0.0,453,25,100,5.79,50,14354.323488875634,13813.501253815932
