PNL,Max_Drawdown,slow_ma_period,fast_ma_period,atr_period,takeprofit,stoploss
28524439.35,0.0, 604, 7, 696, 41.42, 9.7
28462169.72,0.0, 604, 7, 696, 41.4, 9.7
28444389.03,0.0, 604, 7, 696, 41.42, 9.71
28431077.4,0.0, 604, 7, 696, 41.39, 9.7
28400013.39,0.0, 604, 7, 696, 41.38, 9.7
28382294.16,0.0, 604, 7, 696, 41.4, 9.71
28368977.65,0.0, 604, 7, 696, 41.37, 9.7
28364514.59,0.0, 604, 7, 696, 41.42, 9.72
28351289.1,0.0, 604, 7, 696, 41.39, 9.71
28320312.26,0.0, 604, 7, 696, 41.38, 9.71
28302594.08,0.0, 604, 7, 696, 41.4, 9.72
28289363.63,0.0, 604, 7, 696, 41.37, 9.71
28284815.71,0.0, 604, 7, 696, 41.42, 9.73
28276039.93,0.0, 604, 7, 696, 41.34, 9.7
28271676.09,0.0, 604, 7, 696, 41.39, 9.72
28223069.19,0.0, 604, 7, 696, 41.4, 9.73
28209924.5,0.0, 604, 7, 696, 41.37, 9.72
28205292.11,0.0, 604, 7, 696, 41.42, 9.74
28196686.72,0.0, 604, 7, 696, 41.34, 9.71
28192238.07,0.0, 604, 7, 696, 41.39, 9.73
28152517.67,0.0, 604, 7, 696, 41.3, 9.7
28143719.2,0.0, 604, 7, 696, 41.4, 9.74
28130660.0,0.0, 604, 7, 696, 41.37, 9.73
28125943.49,0.0, 604, 7, 696, 41.42, 9.75
28117507.85,0.0, 604, 7, 696, 41.34, 9.72
28112974.76,0.0, 604, 7, 696, 41.39, 9.74
28082258.3,0.0, 604, 7, 696, 41.38, 9.74
28073511.11,0.0, 604, 7, 696, 41.3, 9.71
28064543.8,0.0, 604, 7, 696, 41.4, 9.75
28060171.27,0.0, 604, 7, 696, 41.27, 9.7
28051569.81,0.0, 604, 7, 696, 41.37, 9.74
28046769.56,0.0, 604, 7, 696, 41.42, 9.76
28038503.02,0.0, 604, 7, 696, 41.34, 9.73
28033885.85,0.0, 604, 7, 696, 41.39, 9.75
27998747.32,0.0, 604, 7, 696, 41.25, 9.7
27994678.12,0.0, 604, 7, 696, 41.3, 9.72
27985542.7,0.0, 604, 7, 696, 41.4, 9.76
27981423.87,0.0, 604, 7, 696, 41.27, 9.71
27972653.65,0.0, 604, 7, 696, 41.37, 9.75
27967770.03,0.0, 604, 7, 696, 41.42, 9.77
27959671.93,0.0, 604, 7, 696, 41.34, 9.74
27954971.06,0.0, 604, 7, 696, 41.39, 9.76
27920172.3,0.0, 604, 7, 696, 41.25, 9.71
27916018.42,0.0, 604, 7, 696, 41.3, 9.73
27906715.62,0.0, 604, 7, 696, 41.4, 9.77
27902849.48,0.0, 604, 7, 696, 41.27, 9.72
27893911.23,0.0, 604, 7, 696, 41.37, 9.76
27881014.31,0.0, 604, 7, 696, 41.34, 9.75
27876230.09,0.0, 604, 7, 696, 41.39, 9.77
27841769.9,0.0, 604, 7, 696, 41.25, 9.72
27837531.7,0.0, 604, 7, 696, 41.3, 9.74
27824447.79,0.0, 604, 7, 696, 41.27, 9.73
27815342.25,0.0, 604, 7, 696, 41.37, 9.77
27802529.84,0.0, 604, 7, 696, 41.34, 9.76
27763539.84,0.0, 604, 7, 696, 41.25, 9.73
27759217.69,0.0, 604, 7, 696, 41.3, 9.75
27746218.53,0.0, 604, 7, 696, 41.27, 9.74
27724218.26,0.0, 604, 7, 696, 41.34, 9.77
27723723.91,0.0, 604, 7, 696, 41.16, 9.7
27693305.18,0.0, 604, 7, 696, 41.15, 9.7
27681076.08,0.0, 604, 7, 696, 41.3, 9.76
27668161.4,0.0, 604, 7, 696, 41.27, 9.75
27646550.08,0.0, 604, 7, 696, 41.13, 9.7
27645920.71,0.0, 604, 7, 696, 41.16, 9.71
27616199.36,0.0, 604, 7, 696, 41.12, 9.7
27615587.34,0.0, 604, 7, 696, 41.15, 9.71
27607595.56,0.0, 604, 7, 696, 41.25, 9.75
27603106.6,0.0, 604, 7, 696, 41.3, 9.77
27590276.12,0.0, 604, 7, 696, 41.27, 9.76
27568982.82,0.0, 604, 7, 696, 41.13, 9.71
27568288.43,0.0, 604, 7, 696, 41.16, 9.72
27538717.24,0.0, 604, 7, 696, 41.12, 9.71
27538040.25,0.0, 604, 7, 696, 41.15, 9.72
27529880.77,0.0, 604, 7, 696, 41.25, 9.76
27525313.68,0.0, 604, 7, 696, 41.09, 9.7
27512562.39,0.0, 604, 7, 696, 41.27, 9.77
27491585.91,0.0, 604, 7, 696, 41.13, 9.72
27490826.8,0.0, 604, 7, 696, 41.16, 9.73
27480756.88,0.0, 610, 5, 692, 41.48, 9.7
27480756.88,0.0, 609, 6, 692, 41.48, 9.7
27479588.34,0.0, 612, 5, 690, 41.49, 9.7
27464861.77,0.0, 604, 7, 696, 41.07, 9.7
27461405.3,0.0, 604, 7, 696, 41.12, 9.72
27460663.61,0.0, 604, 7, 696, 41.15, 9.73
27452337.16,0.0, 604, 7, 696, 41.25, 9.77
27449634.8,0.0, 612, 5, 690, 41.48, 9.7
27448086.56,0.0, 604, 7, 696, 41.09, 9.71
27433646.38,0.0, 609, 6, 692, 41.49, 9.71
27420858.49,0.0, 609, 6, 692, 41.46, 9.7
27414359.07,0.0, 604, 7, 696, 41.13, 9.73
27413535.52,0.0, 604, 7, 696, 41.16, 9.74
27403740.39,0.0, 609, 6, 692, 41.48, 9.71
27403740.39,0.0, 610, 5, 692, 41.48, 9.71
27402577.74,0.0, 612, 5, 690, 41.49, 9.71
27389809.32,0.0, 612, 5, 690, 41.46, 9.7
27387804.26,0.0, 604, 7, 696, 41.07, 9.71
27384263.25,0.0, 604, 7, 696, 41.12, 9.73
27383457.14,0.0, 604, 7, 696, 41.15, 9.74
27372708.15,0.0, 612, 5, 690, 41.48, 9.71
27371029.06,0.0, 604, 7, 696, 41.09, 9.72
27344009.86,0.0, 610, 5, 692, 41.46, 9.71
27344009.86,0.0, 609, 6, 692, 41.46, 9.71
27337302.03,0.0, 604, 7, 696, 41.13, 9.74
27336414.32,0.0, 604, 7, 696, 41.16, 9.75
27326892.82,0.0, 609, 6, 692, 41.48, 9.72
27326892.82,0.0, 610, 5, 692, 41.48, 9.72
27325736.05,0.0, 612, 5, 690, 41.49, 9.72
27314215.74,0.0, 604, 7, 696, 41.02, 9.7
27313050.33,0.0, 612, 5, 690, 41.46, 9.71
27310915.99,0.0, 604, 7, 696, 41.07, 9.72
27307290.79,0.0, 604, 7, 696, 41.12, 9.74
27306420.55,0.0, 604, 7, 696, 41.15, 9.75
27301387.98,0.0, 609, 6, 692, 41.42, 9.7
27301387.98,0.0, 610, 5, 692, 41.42, 9.7
27295950.21,0.0, 612, 5, 690, 41.48, 9.72
27294140.88,0.0, 604, 7, 696, 41.09, 9.73
27270484.2,0.0, 612, 5, 690, 41.42, 9.7
27267329.8,0.0, 610, 5, 692, 41.46, 9.72
27267329.8,0.0, 609, 6, 692, 41.46, 9.72
27260414.48,0.0, 604, 7, 696, 41.13, 9.75
27259462.89,0.0, 604, 7, 696, 41.16, 9.76
27250213.91,0.0, 610, 5, 692, 41.48, 9.73
27250213.91,0.0, 609, 6, 692, 41.48, 9.73
27249062.97,0.0, 612, 5, 690, 41.49, 9.73
27241815.53,0.0, 609, 6, 692, 41.4, 9.7
27241815.53,0.0, 610, 5, 692, 41.4, 9.7
27237580.9,0.0, 604, 7, 696, 41.02, 9.71
27234196.68,0.0, 604, 7, 696, 41.07, 9.73
27231396.87,0.0, 606, 3, 698, 41.42, 9.71
27230487.66,0.0, 604, 7, 696, 41.12, 9.75
27229553.56,0.0, 604, 7, 696, 41.15, 9.76
27224874.17,0.0, 610, 5, 692, 41.42, 9.71
27224874.17,0.0, 609, 6, 692, 41.42, 9.71
27219360.71,0.0, 612, 5, 690, 41.48, 9.73
27217421.74,0.0, 604, 7, 696, 41.09, 9.74
27212069.95,0.0, 610, 5, 692, 41.39, 9.7
27212069.95,0.0, 609, 6, 692, 41.39, 9.7
27210984.25,0.0, 612, 5, 690, 41.4, 9.7
27203358.33,0.0, 609, 6, 692, 41.49, 9.74
27194059.61,0.0, 612, 5, 690, 41.42, 9.71
27190818.03,0.0, 610, 5, 692, 41.46, 9.73
27190818.03,0.0, 609, 6, 692, 41.46, 9.73
27183696.15,0.0, 604, 7, 696, 41.13, 9.76
27182680.97,0.0, 604, 7, 696, 41.16, 9.77
27182351.43,0.0, 610, 5, 692, 41.38, 9.7
27182351.43,0.0, 609, 6, 692, 41.38, 9.7
27181274.85,0.0, 612, 5, 690, 41.39, 9.7
27173703.38,0.0, 610, 5, 692, 41.48, 9.74
27173703.38,0.0, 609, 6, 692, 41.48, 9.74
27172558.22,0.0, 612, 5, 690, 41.49, 9.74
27171952.53,0.0, 606, 3, 698, 41.4, 9.71
27165468.68,0.0, 610, 5, 692, 41.4, 9.71
27165468.68,0.0, 609, 6, 692, 41.4, 9.71
27161114.37,0.0, 604, 7, 696, 41.02, 9.72
27160037.1,0.0, 612, 5, 690, 41.46, 9.73
27157646.04,0.0, 604, 7, 696, 41.07, 9.74
27154968.96,0.0, 606, 3, 698, 41.42, 9.72
27153853.55,0.0, 604, 7, 696, 41.12, 9.76
27152855.88,0.0, 604, 7, 696, 41.15, 9.77
27152659.95,0.0, 609, 6, 692, 41.37, 9.7
27152659.95,0.0, 610, 5, 692, 41.37, 9.7
27151592.49,0.0, 612, 5, 690, 41.38, 9.7
27148528.2,0.0, 609, 6, 692, 41.42, 9.72
27148528.2,0.0, 610, 5, 692, 41.42, 9.72
27142939.36,0.0, 612, 5, 690, 41.48, 9.74
27142270.92,0.0, 606, 3, 698, 41.39, 9.71
27140871.36,0.0, 604, 7, 696, 41.09, 9.75
27135806.46,0.0, 609, 6, 692, 41.39, 9.71
27135806.46,0.0, 610, 5, 692, 41.39, 9.71
27134726.41,0.0, 612, 5, 690, 41.4, 9.71
27121937.13,0.0, 612, 5, 690, 41.37, 9.7
27117802.64,0.0, 612, 5, 690, 41.42, 9.72
27114474.25,0.0, 610, 5, 692, 41.46, 9.74
27107146.75,0.0, 604, 7, 696, 41.13, 9.77
27106171.23,0.0, 610, 5, 692, 41.38, 9.71
