PNL = 1049.58 Max. Drawdown = 0 Parameters = {'slow_ma_period': 62, 'fast_ma_period': 62, 'atr_period': 354, 'takeprofit': 12.67, 'stoploss': 2.0} Rank = 0 Crowding Distance = inf
PNL = 11715.29 Max. Drawdown = 633.57 Parameters = {'slow_ma_period': 936, 'fast_ma_period': 3, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = inf
PNL = 3335.6 Max. Drawdown = 149.52 Parameters = {'slow_ma_period': 928, 'fast_ma_period': 21, 'atr_period': 1814, 'takeprofit': 2.0, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.9151346041172472
PNL = 1049.58 Max. Drawdown = 0 Parameters = {'slow_ma_period': 62, 'fast_ma_period': 62, 'atr_period': 354, 'takeprofit': 12.67, 'stoploss': 5.48} Rank = 0 Crowding Distance = 0.9006740901632075
PNL = 9999.07 Max. Drawdown = 416.25 Parameters = {'slow_ma_period': 2000, 'fast_ma_period': 73, 'atr_period': 2000, 'takeprofit': 4.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.328459858599473
PNL = 10026.36 Max. Drawdown = 517.98 Parameters = {'slow_ma_period': 1901, 'fast_ma_period': 141, 'atr_period': 2000, 'takeprofit': 4.15, 'stoploss': 2.44} Rank = 0 Crowding Distance = 0.3282129194289164
PNL = 4751.33 Max. Drawdown = 172.21 Parameters = {'slow_ma_period': 1230, 'fast_ma_period': 57, 'atr_period': 164, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.14518200200677137
PNL = 4027.1 Max. Drawdown = 172.14 Parameters = {'slow_ma_period': 1138, 'fast_ma_period': 26, 'atr_period': 1901, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.14019250702204056
PNL = 11591.72 Max. Drawdown = 626.89 Parameters = {'slow_ma_period': 936, 'fast_ma_period': 2, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.07179967953348942
PNL = 7364.04 Max. Drawdown = 274.64 Parameters = {'slow_ma_period': 1111, 'fast_ma_period': 2, 'atr_period': 185, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.06758228417902201
PNL = 7369.1 Max. Drawdown = 295.18 Parameters = {'slow_ma_period': 1457, 'fast_ma_period': 58, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.06660319022015723
PNL = 10186.18 Max. Drawdown = 532.87 Parameters = {'slow_ma_period': 1994, 'fast_ma_period': 84, 'atr_period': 2000, 'takeprofit': 4.17, 'stoploss': 2.47} Rank = 0 Crowding Distance = 0.0582352583024988
PNL = 10190.18 Max. Drawdown = 550.86 Parameters = {'slow_ma_period': 1082, 'fast_ma_period': 1, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.05752323927342019
PNL = 7196.58 Max. Drawdown = 254.28 Parameters = {'slow_ma_period': 1472, 'fast_ma_period': 409, 'atr_period': 129, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.05529158952198179
PNL = 8119.09 Max. Drawdown = 326.08 Parameters = {'slow_ma_period': 1627, 'fast_ma_period': 4, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.04977084912225504
PNL = 7198.69 Max. Drawdown = 268.3 Parameters = {'slow_ma_period': 1038, 'fast_ma_period': 2, 'atr_period': 184, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.046521272651513956
PNL = 11478.68 Max. Drawdown = 620.77 Parameters = {'slow_ma_period': 941, 'fast_ma_period': 1, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.04134588285302468
PNL = 10052.88 Max. Drawdown = 519.35 Parameters = {'slow_ma_period': 1929, 'fast_ma_period': 141, 'atr_period': 2000, 'takeprofit': 4.15, 'stoploss': 2.44} Rank = 0 Crowding Distance = 0.034230611706634606
PNL = 10167.19 Max. Drawdown = 523.18 Parameters = {'slow_ma_period': 1995, 'fast_ma_period': 393, 'atr_period': 185, 'takeprofit': 4.81, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.03373542658656394
PNL = 8222.47 Max. Drawdown = 330.24 Parameters = {'slow_ma_period': 1519, 'fast_ma_period': 113, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.03249365722400971
